fdc_id,description,protein_per_100g
2727572,"Beef, short loin (NY strip steak), raw",21.3
2727573,"Beef, tenderloin steak, raw",21.1
2727574,"Beef, top sirloin steak, raw",22.0
2727575,"Pork, chop, center cut, raw",22.8
2727576,"Pork, belly, with skin, raw",15.2
2727577,"Pawpaw, peeled, seeded, raw",1.15
2727578,"Squash, pie pumpkin, peeled, seeded, raw",0.854
2727579,"Squash, spaghetti, peeled, seeded, raw",0.792
2727580,"Rutabaga, peeled, raw",0.888
2727581,"Blackberries, raw",1.53
2727582,"Tomatillos, dehusked, raw",1.06
2727583,"Cabbage, napa, leaf, destemmed, raw",1.06
2727584,"Leeks, bulb and greens, root removed, raw",1.47
2727585,"Green onion, (scallion), bulb and greens, root removed, raw",0.669
2727586,"Shallots, bulb, peeled, root removed, raw",1.38
2727587,"Juice, prune, shelf-stable",0.423
2727588,"Juice, pomegranate, from concentrate, shelf-stable",0.0
2727589,"Juice, tart cherry, from concentrate, shelf-stable",0.147
2747652,"Anchovies, canned in olive oil, with salt, drained",26.9
2747653,"Beet greens, raw",1.61
2747654,"Cod, Pacific or Alaskan, frozen, wild caught",14.2
2747655,"Fennel, bulb, raw",0.922
2747656,"Halibut, frozen, wild caught",19.1
2747657,"Lobster, tail only, frozen, wild caught",13.0
2747658,"Mahi mahi, frozen, wild caught",19.8
2747659,"Parsnips, raw",1.27
2747660,"Peppers, banana or Hungarian wax, seeded, raw",0.723
2747661,"Peppers, jalapeno, seeded, raw",0.621
2747662,"Peppers, poblano, seeded, raw",1.43
2747663,"Peppers, serrano, seeded, raw",0.856
2747664,"Radicchio, raw",1.31
2747665,"Radishes, red, raw",0.656
2747666,"Scallops, bay, Patagonian, frozen, wild caught",16.4
2747667,"Scallops, sea, frozen, wild caught",13.5
2747668,"Sea bass, Chilean, frozen, wild caught",14.9
2747669,"Snapper, frozen, wild caught",20.7
2747670,"Snow crab, legs only, frozen",15.5
2747671,"Squid (calamari), frozen, tubes only",8.81
2747672,"Swordfish, frozen, wild caught",19.2
2747673,"Tuna, ahi or yellowfin, frozen, wild caught",24.7
2747674,"Turnips, raw",0.953
2747675,"Watermelon, seedless, flesh only, raw",0.871
2747676,"Watermelon, seedless, rind only, raw",0.531
